dataset,model,Recall@10,Recall@20,Precision@10,Precision@20,NDCG@10,NDCG@20,F1@10,F1@20,MRR@10,MRR@20,HitRatio@10,HitRatio@20,val_Recall@10,val_Recall@20,val_Precision@10,val_Precision@20,val_NDCG@10,val_NDCG@20,val_F1@10,val_F1@20,val_MRR@10,val_MRR@20,val_HitRatio@10,val_HitRatio@20,infer_total_s,infer_ms_per_user,train_seconds,best_val_NDCG@10,device,is_real_data,seed,git_commit,epochs,n_layers
amazon_video_games,LightGCN,0.00437588027926708,0.006867739298935536,0.0010941417825393207,0.0008263049920218829,0.0031996870594594826,0.003959503543442663,0.0017505718970920665,0.0014751272677971917,0.0048747924061350095,0.005211988745019067,0.010485525416001824,0.015386368816959197,0.013202296188671012,0.018680416765853653,0.003990480407350011,0.002842041177772858,0.009536078906325405,0.011245661507536532,0.00612856265288948,0.004933499120367556,0.014643643414121605,0.01561791707032279,0.035753818906353776,0.049977861412441885,0.014844211022136733,0.001691840782099012,47.00006753098569,0.009536078906325405,cuda,True,42,not-a-git-repo,50,1
amazon_video_games,NGCF,0.004878650358761169,0.0074597920240307035,0.0011853202644175975,0.0009288807841349442,0.0030072539456589536,0.003806389777378831,0.0019072530170723156,0.0016520509556697002,0.003831169653485587,0.004249278721513568,0.010941417825393207,0.017095965352176886,0.012317837723147915,0.019069094712943428,0.0033872038963914104,0.00269260571175559,0.008541104968470737,0.010648209466862289,0.0053133291769254885,0.004718891661958898,0.012367959138492679,0.013406178826990196,0.03099402258135931,0.04638034093424839,0.020243245002347976,0.002307185434505126,99.04279750899877,0.008541104968470737,cuda,True,42,not-a-git-repo,50,1
amazon_video_games,Sheaf4Rec-official,0.0036898401700808333,0.0059785112158751985,0.0009117848187827673,0.0007408251652609984,0.002499637167606136,0.0032153151042358234,0.0014622400821260196,0.0013182943398843668,0.0033997905065833037,0.0037528823213783913,0.008434009573740598,0.013448826077045816,0.00965867001037789,0.014365004167110451,0.0028503431481071506,0.00210316581802081,0.0072465930940454094,0.008736565471165946,0.004401709956669811,0.0036691369796730197,0.011782472563964703,0.012571641010299558,0.026898383883108258,0.038244410006641576,0.10079840596881695,0.011488307039983697,556.226077386993,0.0072465930940454094,cuda,True,42,not-a-git-repo,50,1
amazon_video_games,NCL,0.008780450417759534,0.013311158077178817,0.0029405060405744243,0.002062913152496011,0.006874588141435272,0.008257093814768128,0.004405607611318795,0.0035722174903630244,0.012279244955333399,0.012903472831478352,0.026669705949395942,0.03567358103487577,0.019071930094189355,0.0278378908467069,0.006923843258800088,0.004878791233119327,0.015422588529971365,0.018230108465855686,0.010159424982044167,0.008302508028171528,0.02705880079136665,0.028494224283413958,0.05905468231126854,0.07969891520920966,0.017497109016403556,0.0019941997967179797,73.14577466601622,0.015422588529971365,cuda,True,42,not-a-git-repo,50,1
amazon_video_games,DirectAU,0.004463820961662992,0.007425347316168603,0.0011511283337132436,0.0008718942329610213,0.0027950593287123,0.0036303168847622853,0.0018302679206114053,0.0015605469515056203,0.0035684435616051753,0.003919447407622434,0.010827444723045362,0.01618418053339412,0.011846355561426073,0.018310592103589842,0.0036251937126411337,0.0028586451184414432,0.008676324819455905,0.010765709056228714,0.0055515233721262006,0.004945240509490302,0.013814061341457844,0.01497413215987688,0.03287580252379898,0.050199247288023024,0.01794905698625371,0.0020457097089416126,262.1462329800124,0.008676324819455905,cuda,True,42,not-a-git-repo,50,1
amazon_video_games,LightGCN,0.00442889137620733,0.007518116348417918,0.0012081148848871665,0.0010086619557784363,0.003271821112195078,0.004242113664024038,0.001898386961913927,0.0017786877221923434,0.0050433550063137475,0.005508777182703313,0.01139731023478459,0.018235696375655346,0.012289046588890132,0.018175409376079817,0.003658401593978304,0.0027479521806508746,0.00934121098902191,0.011231039092540742,0.005638302393428156,0.004774104361175594,0.014764549093196425,0.01583062340168407,0.03304184193048484,0.04837281381447864,0.01516761098173447,0.0017286996787935344,56.58936474600341,0.00934121098902191,cuda,True,43,not-a-git-repo,50,1
amazon_video_games,NGCF,0.004211511211956166,0.006894302753374129,0.0009573740597219057,0.0008434009573740598,0.002596722317942744,0.003431470778953026,0.0015601010177754698,0.0015029424128880518,0.0033760461102608354,0.0038108535919714245,0.009345794392523364,0.015728288124002735,0.011857433584835294,0.018433961431229225,0.0033816692495018817,0.0026372592428603055,0.008193442296975642,0.010237253326997908,0.005262503832115184,0.004614363440920139,0.011893824388289741,0.01293083741887187,0.030440557892406465,0.0459929156519814,0.020049366023158655,0.002285088445766886,102.69555466101156,0.008193442296975642,cuda,True,43,not-a-git-repo,50,1
amazon_video_games,Sheaf4Rec-official,0.0041798610243312505,0.0061471801990394806,0.001002963300661044,0.0007522224754957829,0.0028354260959824605,0.0034449211185471427,0.0016177462118683547,0.0013404195478274818,0.0036372796972295486,0.003927312614272787,0.009231821290175518,0.013448826077045816,0.008993033920543568,0.013197557522474966,0.0027341155634270533,0.001989705556785477,0.00709182386364873,0.008413590691862208,0.00419334537147223,0.0034580626412304342,0.01183705033190311,0.012567760230806987,0.025293336285145008,0.03597520478193491,0.10581579100107774,0.012060153977784106,617.6670363250014,0.00709182386364873,cuda,True,43,not-a-git-repo,50,1
amazon_video_games,NCL,0.007929632731756127,0.012299304351814264,0.002461819010713472,0.0019033508092090267,0.005324143955078163,0.0067502930001660435,0.0037571883295632103,0.0032965513314690826,0.007775633997995521,0.008548656367756353,0.023250512878960565,0.03407795760200592,0.01773032252983918,0.026504726540480347,0.005949745406243082,0.0044802966570732785,0.01289678774921364,0.015857623722592716,0.00890967925496347,0.007664931341754241,0.020832388929300595,0.022379652315610624,0.053187956608368385,0.07527119769758689,0.01851638505468145,0.0021103698489493335,73.85400198298157,0.01289678774921364,cuda,True,43,not-a-git-repo,50,1
amazon_video_games,DirectAU,0.004204490103467944,0.006949726686312969,0.0011055390927741052,0.0009288807841349442,0.0030392625380694692,0.003895229566793961,0.0017507354490085454,0.0016387331385958575,0.004413698843263466,0.004864541682859913,0.010371552313653977,0.016868019147481195,0.012486088121786958,0.019627407783943424,0.003719282709763117,0.003002545937569183,0.008995819263355121,0.01130620935414897,0.0057313457552638876,0.005208335309203099,0.013535615891991804,0.01474888884117034,0.03431481071507638,0.05224706663714855,0.018505529034882784,0.00210913255469373,208.49828261401854,0.008995819263355121,cuda,True,43,not-a-git-repo,50,1
