dataset,model,Recall@10,Recall@20,Precision@10,Precision@20,NDCG@10,NDCG@20,F1@10,F1@20,MRR@10,MRR@20,HitRatio@10,HitRatio@20,val_Recall@10,val_Recall@20,val_Precision@10,val_Precision@20,val_NDCG@10,val_NDCG@20,val_F1@10,val_F1@20,val_MRR@10,val_MRR@20,val_HitRatio@10,val_HitRatio@20,infer_total_s,infer_ms_per_user,train_seconds,best_val_NDCG@10,device,is_real_data,seed,git_commit,epochs,latent_dim,sheaf_stalk_dim
amazon_video_games,LightGCN,0.004987764205927181,0.008028865033100496,0.0015386368816959197,0.001173922954182813,0.0034095891711829027,0.0043778505641681705,0.002351788638610106,0.0020483507761814234,0.004999710544501973,0.005468373637393101,0.014132664691132892,0.020857077729655803,0.01379598645437698,0.01946410357246957,0.004305955280053133,0.0031492140801416867,0.009997293924185614,0.011853752542091239,0.006563373320750139,0.005421285807717745,0.015895725495570525,0.016966101292685984,0.03907460704007085,0.05473765773743635,0.014143862936180085,0.0016120199380191573,46.794215750996955,0.009997293924185614,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,16.0,
amazon_video_games,NGCF,0.0021565996176458693,0.0047093674940973575,0.00047868702986095284,0.0004843856849783451,0.0010511733983467081,0.001768874369512973,0.0007834717081322708,0.0008784207184250761,0.001179531154457072,0.0014868897362231876,0.0045589240939138366,0.009231821290175518,0.0072806979733983455,0.011654731897273077,0.0020367500553464687,0.0017019039185299978,0.0047558536644113055,0.006137051723497567,0.0031830522594881944,0.0029700942900482913,0.006835398722990045,0.007556630810107015,0.018983838831082577,0.029942439672348903,0.018845470098312944,0.0021478766923082905,137.4856631149887,0.0047558536644113055,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,16.0,
amazon_video_games,Sheaf4Rec-official,0.004651265837725834,0.006999005261065413,0.0011511283337132436,0.0008775928880784135,0.0030216532441839448,0.0037610811344663273,0.0018455153976934158,0.001559626916196572,0.004190682427518535,0.00458326568137888,0.010941417825393207,0.016526099840437656,0.010938915759828758,0.015386553575475928,0.0035145007748505646,0.002438011954837281,0.008307282906854981,0.009691708337458362,0.005319825637308556,0.004209090145502746,0.013932748769199952,0.014736032678036345,0.032266991365950855,0.043889749833960594,0.06408911693142727,0.0073044354834086245,438.78679192095296,0.008307282906854981,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,16.0,
amazon_video_games,NCL,0.0010610620352471275,0.0018009867636605726,0.0002735354456348302,0.0002564394802826533,0.0006533057858355428,0.0009081607277670587,0.00043494473924185966,0.0004489532599563743,0.0008938295324208249,0.0010641659994853818,0.0027353544563483018,0.005128789605653066,0.002351366408613258,0.003701881869663252,0.0007416426831968121,0.0005949745406243082,0.0015047567951932534,0.0019444810981066268,0.001127622739344908,0.001025179924362866,0.0023394644921653994,0.0026341011358932136,0.007250387425282267,0.011678104936905026,0.013901903934311122,0.0015844431199351632,42.50294199405471,0.0015047567951932534,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,16.0,
amazon_video_games,DirectAU,0.0043560058775467935,0.007127431674538556,0.0011055390927741052,0.0009117848187827673,0.002977118090748146,0.0038407892339138434,0.0017635064115195957,0.0016167456127483453,0.004209044760674576,0.004640602749231466,0.010713471620697515,0.01698199224982904,0.011785569127571973,0.017457991340868503,0.0037856984724374586,0.0028337392074385655,0.008692183256170521,0.010508266096263456,0.005730633136512054,0.0048760153233820104,0.014523857842155385,0.015580944047843432,0.034646889528448084,0.05003320788133717,0.013652389985509217,0.0015560052411111487,289.1968754159752,0.008692183256170521,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,16.0,
amazon_video_games,LightGCN,0.005798673585667032,0.008910631007789865,0.001641212673808981,0.0012195121951219512,0.003706273060321399,0.004680933756982419,0.002558333890644282,0.002145403665588465,0.005143126698289679,0.005593885174042492,0.01504444950991566,0.02142694324139503,0.013865469155798596,0.019773233634153335,0.0043502324551693596,0.0031658180208102723,0.010232896536714477,0.012115344493169741,0.006622639656260766,0.0054578070889996205,0.016127609629934182,0.017204277410913797,0.038355102944432146,0.053907460704007086,0.015643210150301456,0.0017829051915091698,112.53570861002663,0.010232896536714477,cuda,True,43,2db0798d04a2508ffb923b18aefef52ecf111f01,50,16.0,
amazon_video_games,NGCF,0.001960260217911412,0.003916203560337545,0.00047868702986095284,0.00044449509915659905,0.0013268637949519486,0.0018916926308322735,0.000769472273189713,0.000798373575335102,0.0017629196652447167,0.002009263167715067,0.00444495099156599,0.008206063369044905,0.006742941070619853,0.011730074094753039,0.0019426610582244854,0.0016576267434137701,0.0044166509665389455,0.005931425309322082,0.0030163133980760934,0.0029047683028970645,0.006342463743670297,0.00710006730375002,0.017876909453176888,0.02916758910781492,0.019805260002613068,0.002257266925303518,137.6396049010218,0.0044166509665389455,cuda,True,43,2db0798d04a2508ffb923b18aefef52ecf111f01,50,16.0,
amazon_video_games,Sheaf4Rec-official,0.005826578792544345,0.008334595903665124,0.0014702530202872122,0.0011112377478914976,0.0038287036593193046,0.004621028528482401,0.0023480176842271133,0.0019610164487807286,0.005433260607639453,0.0058861270925914845,0.014018691588785047,0.020857077729655803,0.01269191389527532,0.018642116828989724,0.0037746291786584017,0.002789462032322338,0.009250509424944355,0.01116728661385284,0.005818740254955236,0.004852790121819383,0.015051494178957096,0.016064696859367202,0.035255700686296215,0.049977861412441885,0.06529592996230349,0.007441979708491394,309.12102701998083,0.009250509424944355,cuda,True,43,2db0798d04a2508ffb923b18aefef52ecf111f01,50,16.0,
amazon_video_games,NCL,0.006705803853862433,0.01010478337135298,0.0020173239115568726,0.0014417597447002508,0.004531561640972578,0.005553341989465695,0.0031015889768884197,0.0025234686689002703,0.006971309532855009,0.007497188985959106,0.019375427399133803,0.027125598358787327,0.015136385265904682,0.022436365961384208,0.005042063316360416,0.003816139030329865,0.011335157199984451,0.013768776861048026,0.007564368745235742,0.006522828345030431,0.019042040474960553,0.020424244332368165,0.04626964799645782,0.06619437679876024,0.014479326957371086,0.001650253813240379,189.78758550499333,0.011335157199984451,cuda,True,43,2db0798d04a2508ffb923b18aefef52ecf111f01,50,16.0,
amazon_video_games,DirectAU,0.004701448367340276,0.007424530043780135,0.0012081148848871665,0.001002963300661044,0.003256695874398272,0.0041307319377171985,0.001922270567447224,0.0017671995347177773,0.004950955384053173,0.005420074999339587,0.011853202644175975,0.018691588785046728,0.012629979331047037,0.018827542402156405,0.003984945760460483,0.002958268762452956,0.009296178905827642,0.01125214200171788,0.006058382124838439,0.005113138100869652,0.014893954408565875,0.015977863753738917,0.03652866947088776,0.05230241310604383,0.013786611089017242,0.0015713028366785094,345.7653339380049,0.009296178905827642,cuda,True,43,2db0798d04a2508ffb923b18aefef52ecf111f01,50,16.0,
