dataset,model,latent_dim,sheaf_stalk_dim,epochs,Recall@10_mean,Recall@10_std,NDCG@10_mean,NDCG@10_std,Recall@20_mean,Precision@10_mean,Precision@20_mean,NDCG@20_mean,F1@10_mean,F1@20_mean,MRR@10_mean,MRR@20_mean,HitRatio@10_mean,HitRatio@20_mean,val_Recall@10_mean,val_Recall@20_mean,val_Precision@10_mean,val_Precision@20_mean,val_NDCG@10_mean,val_NDCG@20_mean,val_F1@10_mean,val_F1@20_mean,val_MRR@10_mean,val_MRR@20_mean,val_HitRatio@10_mean,val_HitRatio@20_mean,infer_total_s_mean,infer_ms_per_user_mean,train_seconds_mean,best_val_NDCG@10_mean,epochs_mean,latent_dim_mean,sheaf_stalk_dim_mean,Recall@20_std,Precision@10_std,Precision@20_std,NDCG@20_std,F1@10_std,F1@20_std,MRR@10_std,MRR@20_std,HitRatio@10_std,HitRatio@20_std,val_Recall@10_std,val_Recall@20_std,val_Precision@10_std,val_Precision@20_std,val_NDCG@10_std,val_NDCG@20_std,val_F1@10_std,val_F1@20_std,val_MRR@10_std,val_MRR@20_std,val_HitRatio@10_std,val_HitRatio@20_std,infer_total_s_std,infer_ms_per_user_std,train_seconds_std,best_val_NDCG@10_std,epochs_std,latent_dim_std,sheaf_stalk_dim_std
amazon_video_games,DirectAU,16.0,,50,0.004659496659616984,0.00023257205907897975,0.0032471639914148018,0.00021670502122279133,0.007481512043843251,0.0011929184712407871,0.0009668718182508929,0.004130315196903041,0.0018995128273108317,0.0017122457511768534,0.004760879607015918,0.005200716041525257,0.011511283337132437,0.017893777068611807,0.01210735152369946,0.017909896363161416,0.0038133717068851007,0.0028438860600693678,0.008926415487124258,0.010772867398580197,0.005799670130299851,0.0049082402107526795,0.014408948030544223,0.015452330408497033,0.03503431481071508,0.05027304257988341,0.01417799030120174,0.0016159095396856326,264.7113537186718,0.008926415487124258,50.0,16.0,,0.000314956149206214,6.602137830325493e-05,3.957272748271345e-05,0.0002362270089443515,0.00010302252570849096,6.778446641130698e-05,0.0003964509733778147,0.00039914858095873744,0.0005660536595149056,0.0007025773880748777,0.0003728371470578235,0.0006488983219517622,0.0001302701161826415,8.953858311098633e-05,0.00026454894108123597,0.0003395107364457746,0.00018945061673094263,0.00015581779382542127,0.00045030911091151286,0.0004901139468303905,0.0010967355876099066,0.0015682584707662442,0.0006507136682473606,7.416385551029859e-05,78.11929967896728,0.00026454894108123597,0.0,0.0,
amazon_video_games,DirectAU,32.0,,50,0.004754051682194523,0.0003819831991686637,0.003294406446310372,8.876237274061763e-05,0.007529854120962023,0.0012385077121799255,0.0009820682318972722,0.004148277381800164,0.0019650668081583745,0.0017372714532029286,0.0047613771086531505,0.005204381677581061,0.011549274371248386,0.017969759136843705,0.011874590657004106,0.018279218180291493,0.0036879197107224557,0.002848498265810641,0.008822228103660635,0.010848539755345036,0.0056278877027775955,0.004928879465377387,0.013805481174586775,0.01490873206930314,0.033742897203158435,0.050199247288023024,0.014919090298159668,0.001700375005488907,290.9101176686818,0.008822228103660635,50.0,32.0,,0.0006459597255158245,0.00010705115723429354,5.1252707101405826e-05,0.0001807755870947939,0.00016738237428746264,9.686145878481527e-05,0.00021926535815811453,0.00024440717691718796,0.0010705115723429358,0.0012496682777447413,3.0927919835473574e-05,0.0003224187820767524,2.4888822897262307e-05,3.269139758443907e-05,0.00025916420808870543,0.00033011670138631717,2.803268390585074e-05,6.026213161197709e-05,0.0007956147509700183,0.0008252932778624381,0.00040503465427090576,0.000760216876172851,0.0002817383375967476,3.2110592386226094e-05,63.00518258022781,0.00025916420808870543,0.0,0.0,
amazon_video_games,DirectAU,64.0,,50,0.004872663738357295,0.00011393576145706236,0.003330133323118437,0.00011244120692124465,0.007468896469082696,0.00124990502241471,0.0009554745080161082,0.004120707469618537,0.0019893543082532042,0.001694192397373464,0.004751185862993477,0.005144840915876892,0.011739229541828128,0.017475875693336373,0.012187190788058968,0.018607100782453378,0.0037672496494723638,0.002901077411261161,0.009054101067814652,0.011094246000131163,0.005754779333541249,0.005019276264265023,0.01410187762163631,0.015224574886614009,0.03401962954763486,0.05043908198656926,0.01759386227543776,0.0020052270658123734,262.2276765336671,0.009054101067814652,50.0,64.0,,0.0003918380210885302,1.0745487139070696e-05,4.221964662809224e-05,2.695393302510639e-05,2.07314127409195e-05,7.633004815755308e-05,8.887215573987382e-05,8.65556133827766e-05,0.00042644830029335996,0.0009321361709889293,0.00021137747355099714,0.0003634558957910155,9.50427781889986e-05,8.172849396109765e-05,0.0002823440199404847,0.00034131700636520193,0.00012126346908085918,0.00013130139512731036,0.0006073700128154474,0.0006385831636514506,0.0009264909991505945,0.0016994961187995748,4.298188678752725e-05,4.898778981938379e-06,24.139737631283708,0.0002823440199404847,0.0,0.0,
amazon_video_games,DirectAU,128.0,,50,0.005021036931809157,0.0001365143089950871,0.00336605514939046,0.00012236166223702482,0.007242922912907376,0.0012651014360610896,0.0008889901983131981,0.004011354228613202,0.002020930331497879,0.001583555194488007,0.004598799603928393,0.004908009200344739,0.011587265405364333,0.016108198465162222,0.012244689321785298,0.01823033185867814,0.00363626300642019,0.002797764002656631,0.008669453800628208,0.010620796601922092,0.005607136880450575,0.004850865857143518,0.012955078287433834,0.014047478595379337,0.0331709836912405,0.049147664379012614,0.03209870436694473,0.00365838891804704,311.2967047703375,0.008669453800628208,50.0,128.0,,0.0002549524413231963,1.861172967694836e-05,3.05113182968791e-05,0.0001100542800229753,3.437832880134388e-05,5.375993686515538e-05,0.00020596430838532698,0.00019503109220568221,0.00028429886686223954,0.0004196246872269296,8.04760622687268e-05,0.0005819179258134628,3.258711853858695e-05,7.927629031018163e-05,0.00011397818801481137,0.0002742897663834404,3.397198943694421e-05,0.00013662459628871687,0.0004614428150717812,0.0005186196764819277,0.0006332005867364228,0.0014482032253553515,2.399287311076002e-05,2.7345421826715524e-06,53.12322903539074,0.00011397818801481137,0.0,0.0,
amazon_video_games,LightGCN,16.0,,50,0.005429316557329713,0.0003349653007321656,0.0035826480360025607,0.000126063769467629,0.008456321896896312,0.0015956234328698426,0.0012062153331813693,0.004548891246071219,0.0024658560066816884,0.002111069844450261,0.00499775068956742,0.005475062839202843,0.014664539168756173,0.02146493427551098,0.013734225790836793,0.01939585153380575,0.00431517969153568,0.003113238875359752,0.010060687608602056,0.011884217843281369,0.006567003047877131,0.005365270180737273,0.01600318256838071,0.017035549192068233,0.03872407940373404,0.053686074828425946,0.01489021700884526,0.0016970842271307567,71.29502661601873,0.010060687608602056,50.0,16.0,,0.0003604798569597862,4.264483002933594e-05,2.2952370590370338e-05,0.00012676881437522928,8.569253041167804e-05,4.4415519258957386e-05,0.00011950715691661511,9.440574170515277e-05,0.0003874340485975832,0.0005125270710140585,0.00013939124246214134,0.00033944335624517456,2.5696236951486704e-05,6.29832116268597e-05,0.00012317390335907984,0.00017758813748542531,4.402015753982438e-05,0.00010609537467743976,9.542378575196836e-05,0.00011992887391580658,0.00029402585511234026,0.000961819083295482,0.00061212393900211,6.976566434945398e-05,29.333182971903565,0.00012317390335907984,0.0,0.0,
amazon_video_games,LightGCN,32.0,,50,0.005494803419985385,8.390826524923944e-05,0.0036874657737290557,6.981477477488823e-05,0.008635342569426432,0.0016070207431046273,0.001200516678063977,0.004652495520710649,0.002486380822614384,0.0021078688009208567,0.005421034128009282,0.0058716819807143675,0.01504444950991566,0.021540916343742875,0.01429000980893159,0.020229151342514375,0.004534720684820308,0.0032110176370747545,0.010464712761935432,0.012334782177119927,0.006884494429935739,0.005542256779109262,0.016689566634220165,0.01769885866666407,0.040661205815069,0.05540181536417976,0.01468552501561741,0.0016737548456368144,57.80248488099702,0.010464712761935432,50.0,32.0,,0.00031606393417877356,2.4621004096982963e-05,6.969051108519174e-05,0.0001902444741536392,2.2707616633912214e-05,0.00011690254340523615,0.0001697581986535335,0.000257588193027838,0.00018611729676948441,0.0012519760696971412,0.0004732184277431908,0.0005677642568558851,0.00014880779890838914,9.592500938200616e-05,0.0002891194000497989,0.000300555046952368,0.00022358292475271573,0.00016363179532475673,0.0003991052890574007,0.00040280219562264684,0.0009525740272618684,0.0010958041771764078,7.836661295200449e-05,8.931685998632814e-06,15.358398786497304,0.0002891194000497989,0.0,0.0,
amazon_video_games,LightGCN,64.0,,50,0.005429477848333152,0.0002117007652152827,0.0036386592631606333,0.0002923807099717262,0.008423977968957662,0.0014550566066408328,0.0010979408859509157,0.004575838792489072,0.002294653667654771,0.0019425170729264597,0.005275190769264168,0.0057110986484669,0.013828736418205303,0.019983283944988984,0.014107559747303317,0.020338006358000624,0.0043815954542100214,0.0031888790495166407,0.01048986330246098,0.012466724815720443,0.006686319664762585,0.005513286153552733,0.01660527308357727,0.01769235265209966,0.03883477234152461,0.05433178363220426,0.019035082349243265,0.0021694873887899775,86.57422995499412,0.01048986330246098,50.0,64.0,,0.00032032102814419367,4.68384925383252e-05,3.4922833201979784e-05,0.00031422574158189095,7.097074109994523e-05,6.0582903728611535e-05,0.0006068605650905644,0.0006248270055848364,0.00041962468722693037,0.0007464053910944655,0.00014105470471168616,0.00027744751852589247,9.308889241784992e-05,5.77097347783083e-05,7.530106266180484e-05,9.164344242183367e-05,0.000124270825349409,9.627356646155615e-05,0.0001223756686581972,0.00011426196068526227,0.0008287608827841538,0.0008287608827841571,0.00010403023573897469,1.1856648705148575e-05,9.714134779824287,7.530106266180484e-05,0.0,0.0,
amazon_video_games,LightGCN,128.0,,50,0.00520956989449656,0.00016452244306001585,0.003482200450939155,0.00015795009921363318,0.008341143519529881,0.0013372844008813919,0.0010713471620697516,0.004462947379275392,0.002128172050288911,0.0018987948329071292,0.004863304641057092,0.005333135838914416,0.012537041258263049,0.019413418433249754,0.01435558938475956,0.02065425568531071,0.004353922219762379,0.0031529038447347057,0.01058364724345754,0.012554312347195744,0.006681102054987909,0.005470663312403984,0.016542795998186744,0.01759533202612058,0.038760977049664226,0.05392590952697218,0.03387939072369287,0.0038613392664341092,115.2144761243059,0.01058364724345754,50.0,128.0,,0.0003316663192258048,3.268112326967032e-05,3.355277283765622e-05,0.00023569622232642566,5.3952057536052956e-05,6.128308152899992e-05,0.0002948074762649599,0.0003363362937130935,0.0002462100409698303,0.0006196150152078148,0.000247239861122496,0.00020363997730831778,1.5870277593983535e-05,3.06772362709687e-05,0.00020993694498986195,0.00015769412131713445,3.720326287680854e-05,5.151433320857259e-05,0.00028971391574006747,0.00025000904922403705,0.0004571438157096828,0.0008766588717081197,2.4317977528979418e-05,2.771595341803014e-06,15.280847104246234,0.00020993694498986195,0.0,0.0,
amazon_video_games,NCL,16.0,,50,0.0029336110908394918,0.002667366018014969,0.002004399223894319,0.0017884016704001592,0.004635084171342121,0.0009345794392523365,0.0006971354760276575,0.002533823558289784,0.0014073956576880961,0.0012098664748854515,0.0032110564763858586,0.0035023803680680073,0.009041866119595775,0.013296861940582022,0.006654462329470277,0.009869451167882895,0.0021935650505497746,0.0016696184783410817,0.004836573231844674,0.005909340077888175,0.0032992616279546257,0.002855941329966159,0.00805690846923966,0.008698607264345503,0.02049664231422035,0.029868644380488526,0.014479045988991857,0.0016502217904025365,91.59729202634965,0.004836573231844674,50.0,16.0,,0.0038685102327449083,0.0007718259837400052,0.0005294810847256088,0.002137218178710076,0.0012023399248487943,0.0009327387544890029,0.002682745367460471,0.00284759377122276,0.007365951096966589,0.00983182713532136,0.005997839789730626,0.00888665443691542,0.0020143191712750762,0.0015178196587215568,0.004595686780630753,0.0055575351114382655,0.0030160550066193337,0.0025928815989944448,0.007769831143194024,0.008292912691931253,0.018226634137225188,0.025686181662530953,0.00047111985138719695,5.369499104025485e-05,69.43102236849353,0.004595686780630753,0.0,0.0,
amazon_video_games,NCL,32.0,,50,0.008107351880665158,0.00044190819015073237,0.005261649255967946,0.0003492245874787713,0.012487934153989744,0.002579591216472912,0.0018558620165640908,0.006601814153077541,0.003912683130049195,0.0032311434035663298,0.007610704667349299,0.00830159272825774,0.02393435149304764,0.03392599346554213,0.018006668788575052,0.02616015201856108,0.006311342336358941,0.00449597815659361,0.01368024199722518,0.01632513816832801,0.009346502932018533,0.007673149434109077,0.02293310222522089,0.024323886443028197,0.05543871301010996,0.07584311120950483,0.015256672049872577,0.0017388502450276474,92.57069059333298,0.01368024199722518,50.0,32.0,,0.0005978809613528603,0.0001117995514745245,0.00010552347399385416,0.0004465900333974281,0.00016685958946172267,0.00017728642949631552,0.0003550091557463842,0.000446896505774639,0.0006514105386931938,0.0015829090993085392,0.0006232455270942511,0.0008233141193683413,0.0002550478881084121,0.00010837015118959057,0.0003749785353639793,0.00041521981105427694,0.000362299519775101,0.00019302390778067584,0.0004198797227023649,0.00039875631759956823,0.0019312313884881905,0.001594089334899852,0.0002914508999940151,3.3217563254389734e-05,0.07969027628876346,0.0003749785353639793,0.0,0.0,
amazon_video_games,NCL,64.0,,50,0.008263308373826316,0.000837986474717658,0.005886550686216979,0.0008075929867488661,0.012719835984514545,0.0026935643188207583,0.0019318440847959882,0.0072706085827672325,0.004060561985033242,0.0033538247941733977,0.009072605690453877,0.009749301598173795,0.024542208038902818,0.03430590380670162,0.018965937601881363,0.02752585503942526,0.006503210095195926,0.004674931739355029,0.014485070289796198,0.017285645273029546,0.0096834746819439,0.007991804237943245,0.024225464236810258,0.025670760572920698,0.05665633532580622,0.07761419821415394,0.01757458966070165,0.0020030305061205437,72.59310430600696,0.014485070289796198,50.0,64.0,,0.0007107634264799717,0.0003556171848290118,0.00017152857241044454,0.0007731238196453748,0.0004986720156637351,0.00028280284429783214,0.0016871545337202394,0.0016672166223467306,0.002533748499435161,0.0022870476321392597,0.0010089857676330695,0.0013467341474462866,0.000560413175382345,0.00033605481818049375,0.0008310704760288128,0.0009160246685531721,0.0007518441611135094,0.0005464571971645767,0.0013030432631491002,0.0013171192711048415,0.0034679861670752514,0.003722458651063862,1.891575587807751e-05,2.155887380679046e-06,0.12585551656478955,0.0008310704760288128,0.0,0.0,
amazon_video_games,NCL,128.0,,50,0.006202696795199317,0.00044744139309490285,0.003667341720163923,5.6969698417075044e-05,0.01044126388620529,0.0015386368816959197,0.0012423068155915204,0.004937079266725641,0.0024650311087081947,0.0022200094860388596,0.004536310383130533,0.005127827147112948,0.014930476407567813,0.023554441151888154,0.01513540366928647,0.023612940745284194,0.0043815954542100214,0.0034130322485425428,0.010776573606000713,0.013470572807808919,0.00679386872494201,0.005963542625240491,0.016149865352876203,0.01755668306447021,0.0399601505423954,0.06058593461737141,0.03207466960884631,0.0036556496021023827,68.7377127246582,0.010776573606000713,50.0,128.0,,0.0004961206254147963,0.0001531938694146034,0.00011282761496024235,0.0001501894732176613,0.00023012232778570294,0.00019142433254147574,0.00013577335732543343,0.0001570706036397932,0.0016358217568278233,0.002093991912395815,0.0003146411274123464,0.0007526912053412668,0.0002504831146846321,0.00016897047223130647,0.0001375932625681609,0.0002545444602760839,0.00032708693907433514,0.0002786650003614907,0.000343571768523543,0.0003868159211476732,0.001958879307568999,0.002558473296931548,8.720490691033847e-05,9.93901378052645e-06,0.08345444033738153,0.0001375932625681609,0.0,0.0,
amazon_video_games,NGCF,16.0,,50,0.0018237880369240895,0.00034137733446037494,0.0011055607683260816,0.00016308878158922382,0.00392674625648879,0.00044449509915659905,0.0004292986855102196,0.0017024085125335873,0.0007138958126068567,0.0007738197014972016,0.0013941201939834263,0.0016475157390857167,0.00417901375275435,0.008016108198465162,0.0067035664718502015,0.011483241065010585,0.0019168327060733526,0.0016502472142277322,0.004415790594243649,0.0058977178374618605,0.00298106549600835,0.0028857232363716998,0.006367794270439832,0.007125274997690763,0.01778466533835141,0.02913069146188473,0.01961339369881898,0.0022353993274240916,130.5814330953484,0.004415790594243649,50.0,16.0,,0.0006347473051477437,4.835469212581819e-05,5.229807726592281e-05,0.00018766480529466153,8.868043837008716e-05,9.699699526533849e-05,0.00026194297289252737,0.00025632774776187026,0.00045904741180740716,0.001078570744364287,0.00048809524372351226,0.0002973945211581493,0.00010998345923392286,4.54904730497304e-05,0.000278012245265762,0.00021052987577840532,0.00018103531309177952,7.783761553190758e-05,0.0003718878796342874,0.00034237384970248045,0.0010188695499582364,0.000678354966823491,0.0005652024250481244,6.441787383726076e-05,9.873109036401715,0.000278012245265762,0.0,0.0,
