dataset,model,Recall@10,Recall@20,Precision@10,Precision@20,NDCG@10,NDCG@20,F1@10,F1@20,MRR@10,MRR@20,HitRatio@10,HitRatio@20,val_Recall@10,val_Recall@20,val_Precision@10,val_Precision@20,val_NDCG@10,val_NDCG@20,val_F1@10,val_F1@20,val_MRR@10,val_MRR@20,val_HitRatio@10,val_HitRatio@20,infer_total_s,infer_ms_per_user,train_seconds,best_val_NDCG@10,device,seed,git_commit,epochs
amazon_video_games,SGL,0.005688302109085265,0.009012397925502893,0.0015386368816959197,0.0012138135400045589,0.003730318153683092,0.004780653092721344,0.002422112994293097,0.002139476709782975,0.005616793484356739,0.006171833082267514,0.014702530202872122,0.02256667426487349,0.015413715450642924,0.023005615186269986,0.004698915209209653,0.003461921629400044,0.011317115534949775,0.013656552413457503,0.00720221468651846,0.006018212980351794,0.01794730049794252,0.019233394831817817,0.04289351339384547,0.06137923400487049,0.014676794991828501,0.0016727598577420222,80.79112397698918,0.011317115534949775,cuda,42,f6a40bd0cbce87a72404aee9ae1e36b47b6e63c2,100
amazon_video_games,SimGCL,0.005215255192610537,0.0074819567811721666,0.0012651014360610896,0.0009402780943697287,0.0034442740822736976,0.004177281911185663,0.0020362542408253535,0.0016706064763848296,0.0050343547494219945,0.005456353124544607,0.012423068155915203,0.018235696375655346,0.010578600748490768,0.015929856545697858,0.0031492140801416867,0.0023383883108257695,0.00788640359002191,0.009565792230143156,0.00485354425904115,0.004078135653660141,0.012475665123993661,0.013408808591757373,0.029222935576710206,0.04283816692495019,0.014611748978495598,0.0016653463618071117,62.024480725987814,0.00788640359002191,cuda,42,f6a40bd0cbce87a72404aee9ae1e36b47b6e63c2,100
amazon_video_games,DirectAU,0.0048195723999234375,0.00696392841981483,0.0012081148848871665,0.0009003875085479827,0.0032377251333080815,0.003934945916902078,0.0019319506404426288,0.001594603832485885,0.004345179299590059,0.0047192259146987825,0.01139731023478459,0.016526099840437656,0.012527158418151588,0.019370972858404067,0.0038797874695594417,0.002985941996900598,0.009230550251752578,0.01138389861879028,0.005924650765909399,0.005174291869256404,0.014228632748944902,0.015382510047253951,0.035366393624086785,0.05213637369935798,0.01867969095474109,0.002128982329010838,219.27035503397929,0.009230550251752578,cuda,42,f6a40bd0cbce87a72404aee9ae1e36b47b6e63c2,100
amazon_video_games,NCL,0.006429523836665751,0.011327581977827638,0.0019717346706177342,0.0016697059493959426,0.004410441466542374,0.005984326676776814,0.0030179561915221146,0.0029104119454079567,0.0062494346572304176,0.0070646288558934706,0.0181217232733075,0.029974925917483474,0.01723494385614414,0.026322259931060382,0.0056398051804294885,0.004394509630285588,0.012665760778855928,0.015741239897681742,0.008498604770603664,0.007531613930098231,0.020413402982032598,0.022083476757878022,0.050088554350232455,0.07427496125747177,0.01767347299028188,0.002014300545963287,73.26579932501772,0.012665760778855928,cuda,42,f6a40bd0cbce87a72404aee9ae1e36b47b6e63c2,100
amazon_video_games,LightGCL,0.005279256897472056,0.006870081308560886,0.0015500341919307042,0.0010542511967175747,0.003589245170357264,0.0041453701669426635,0.0023964504051571544,0.0018279877671142331,0.005249049319598671,0.005635820717108592,0.015272395714611352,0.02062913152496011,0.008195973014225297,0.012432902713059543,0.002794996679211866,0.002092096524241753,0.005923631768010994,0.007334667907389048,0.004168461563741412,0.003581526184928113,0.00973096345024616,0.01057342810793269,0.027119769758689394,0.03896391410228028,0.014747355075087398,0.0016808018093329607,50.2674736379995,0.005923631768010994,cuda,42,f6a40bd0cbce87a72404aee9ae1e36b47b6e63c2,100
amazon_video_games,SGL,0.005888963168792188,0.0095907316343514,0.0015956234328698426,0.0012594027809436975,0.003847082367827805,0.004983394563450945,0.002510911591388535,0.002226441374691179,0.005366595388250277,0.005875748920500653,0.015158422612263505,0.02256667426487349,0.01516460092768622,0.023641963443515802,0.0046103608589771975,0.0035864511844144343,0.010504588581230708,0.013188942618489229,0.007070990408301601,0.006228107581915824,0.015856082489080055,0.01720412880612592,0.04206331636041621,0.06193269869382333,0.01647265098290518,0.0018774391364149965,85.25788658298552,0.010504588581230708,cuda,43,f6a40bd0cbce87a72404aee9ae1e36b47b6e63c2,100
amazon_video_games,SimGCL,0.004228374568299346,0.00718734676750585,0.00111693640300889,0.0009858673353088671,0.0030488635055049866,0.003996940896880031,0.0017670910097620208,0.0017339005968732848,0.00456326592638423,0.005037627634246303,0.010713471620697515,0.01777980396626396,0.01083340734155643,0.016294602249913616,0.0032156298428160286,0.002404804073500111,0.007882776939735783,0.009580366125818656,0.0049592335032953615,0.004191076998802039,0.012239190746773211,0.013201240785796651,0.030053132610139473,0.044277175116227585,0.01539504190441221,0.0017546206866209495,62.64122979197418,0.007882776939735783,cuda,43,f6a40bd0cbce87a72404aee9ae1e36b47b6e63c2,100
amazon_video_games,DirectAU,0.004516394266142993,0.007047180766762613,0.0011055390927741052,0.0008832915431958057,0.0031062963356053488,0.0038954885173055277,0.0017762752067070609,0.001569822056332528,0.004304429392758547,0.0047297377739716874,0.010485525416001824,0.016526099840437656,0.01276759581178933,0.019310310434801584,0.003890856763338499,0.0030080805844587117,0.009221648090677017,0.011335625204725997,0.005964165794131886,0.005205300852437731,0.013997561241307091,0.015188582399376538,0.034757582466238654,0.05213637369935798,0.017949979985132813,0.0020458149059873277,313.1161649780115,0.009221648090677017,cuda,43,f6a40bd0cbce87a72404aee9ae1e36b47b6e63c2,100
amazon_video_games,NCL,0.00844062272160241,0.012421378390103889,0.002518805561887395,0.0018634602233872808,0.005378109026327867,0.006666123199543608,0.003879816885885104,0.0032407428849409938,0.007972101917280856,0.008638733266353501,0.02416229769774333,0.03396398449965808,0.01858035006775877,0.027259427115533717,0.006049369050254594,0.004543945096302855,0.013678703139084928,0.016616108192178024,0.0091271357260904,0.0077894469394383485,0.02217440902270435,0.023800231589555257,0.05484835067522692,0.07831525348682754,0.017736656998749822,0.002021501823427151,73.7511552980286,0.013678703139084928,cuda,43,f6a40bd0cbce87a72404aee9ae1e36b47b6e63c2,100
amazon_video_games,LightGCL,0.004354696192797401,0.0074636064293755085,0.0013790745384089354,0.001122635058126282,0.0028315185181279523,0.003849520147290483,0.0020947648322623908,0.0019517052367721262,0.004489364319544397,0.005061860020924976,0.013448826077045816,0.021882835650786414,0.00908273160582563,0.012931471267452825,0.0032820456054903696,0.002260903254372371,0.007086229852901189,0.008311772329386513,0.004821751147358648,0.003848878979438749,0.012326317509514323,0.013071477108418989,0.031049369050254592,0.04184193048483507,0.015419508039485663,0.0017574091679377324,50.49962288397364,0.007086229852901189,cuda,43,f6a40bd0cbce87a72404aee9ae1e36b47b6e63c2,100
