dataset,model,Recall@10,Recall@20,Precision@10,Precision@20,NDCG@10,NDCG@20,F1@10,F1@20,MRR@10,MRR@20,HitRatio@10,HitRatio@20,val_Recall@10,val_Recall@20,val_Precision@10,val_Precision@20,val_NDCG@10,val_NDCG@20,val_F1@10,val_F1@20,val_MRR@10,val_MRR@20,val_HitRatio@10,val_HitRatio@20,infer_total_s,infer_ms_per_user,train_seconds,best_val_NDCG@10,device,is_real_data,seed,config,n_layers,latent_dim,lr,git_commit
movielens_1m,Sheaf4Rec-official,0.0650985588868643,0.1116448567169123,0.0065098558886864,0.0055822428358456,0.0307648869916766,0.0423804213094385,0.0118361016157935,0.0106328434968488,0.0205068742753023,0.0236153872566274,0.0650985588868643,0.1116448567169123,0.0821872410936205,0.132228666114333,0.008218724109362,0.0066114333057166,0.0419088441569064,0.0544946649593338,0.0149431347442946,0.0125932062966031,0.0298004366065675,0.0332181664901211,0.0821872410936205,0.132228666114333,1.168414858984761,0.19354229898704,1947.6581179339848,0.0419088441569064,cuda,True,42,L3_d128_lr0.001,3,128,0.001,not-a-git-repo
movielens_1m,Sheaf4Rec-official,0.0659267848269007,0.1142951797250289,0.00659267848269,0.0057147589862514,0.0298944154767739,0.0420396014873231,0.0119866881503455,0.0108852552119075,0.0192253589636395,0.0225145468908068,0.0659267848269007,0.1142951797250289,0.0810273405136702,0.1347141673570837,0.008102734051367,0.0067357083678541,0.0403853499950467,0.0538033975640698,0.0147322437297582,0.0128299207006746,0.0282490367038834,0.0318505906640395,0.0810273405136702,0.1347141673570837,0.2637166770000476,0.0436833985423302,2225.0339049279864,0.0403853499950467,cuda,True,42,L3_d64_lr0.001,3,64,0.001,not-a-git-repo
movielens_1m,Sheaf4Rec-official,0.05863839655458,0.1073380818287228,0.005863839655458,0.0053669040914361,0.0282683975657202,0.0404679181116897,0.0106615266462872,0.0102226744598783,0.0191463488382487,0.0224348277080627,0.05863839655458,0.1073380818287228,0.072079536039768,0.1204639602319801,0.0072079536039768,0.006023198011599,0.0350995354059078,0.0471670845931462,0.0131053701890487,0.0114727581173314,0.0240359805894188,0.0272617175731939,0.072079536039768,0.1204639602319801,0.2521340529783629,0.0417647926086405,1823.2293476070045,0.0350995354059078,cuda,True,42,L4_d128_lr0.001,4,128,0.001,not-a-git-repo
movielens_1m,Sheaf4Rec-official,0.0664237203909226,0.1156203412290872,0.0066423720390922,0.0057810170614543,0.031019217350619,0.0433379823395661,0.0120770400710768,0.0110114610694368,0.0204697355724355,0.0237869193888152,0.0664237203909226,0.1156203412290872,0.0850041425020712,0.1352112676056338,0.0085004142502071,0.0067605633802816,0.040476363878229,0.0531095779687147,0.0154552986367402,0.0128772635814889,0.0271404242448153,0.0305753487533981,0.0850041425020712,0.1352112676056338,0.3265562279848382,0.0540924677794994,2256.7540522759955,0.040476363878229,cuda,True,42,L4_d64_lr0.001,4,64,0.001,not-a-git-repo
movielens_1m,Sheaf4Rec-official,0.0588040417425873,0.1036938876925625,0.0058804041742587,0.0051846943846281,0.028586951931664,0.0398321610798725,0.0106916439531977,0.0098756083516726,0.019512082896214,0.0225440352545726,0.0588040417425873,0.1036938876925625,0.0685998342999171,0.1194697597348798,0.0068599834299917,0.0059734879867439,0.0335525323519317,0.0462599927626569,0.0124726971454394,0.0113780723557028,0.0231483015741507,0.0265539709582971,0.0685998342999171,0.1194697597348798,0.5319756739772856,0.0881192105312714,1068.3476062350092,0.0335525323519317,cuda,True,42,L5_d128_lr0.001,5,128,0.001,not-a-git-repo
movielens_1m,Sheaf4Rec-official,0.0659267848269007,0.1149577604770581,0.00659267848269,0.0057478880238529,0.0318742471974798,0.0441710036071955,0.0119866881503455,0.0109483581406722,0.0216752644407108,0.0249994133084015,0.0659267848269007,0.1149577604770581,0.0763877381938691,0.1285832642916321,0.0076387738193869,0.0064291632145816,0.0371951925658916,0.0502315700266716,0.0138886796716125,0.0122460251706316,0.0255534514275193,0.0290466598718578,0.0763877381938691,0.1285832642916321,1.5835987829777878,0.2623155181344687,2647.210414756002,0.0371951925658916,cuda,True,42,L5_d64_lr0.001,5,64,0.001,not-a-git-repo
