dataset,model,Recall@10,Recall@20,Precision@10,Precision@20,NDCG@10,NDCG@20,F1@10,F1@20,MRR@10,MRR@20,HitRatio@10,HitRatio@20,val_Recall@10,val_Recall@20,val_Precision@10,val_Precision@20,val_NDCG@10,val_NDCG@20,val_F1@10,val_F1@20,val_MRR@10,val_MRR@20,val_HitRatio@10,val_HitRatio@20,infer_total_s,infer_ms_per_user,train_seconds,best_val_NDCG@10,device,is_real_data,seed,git_commit,epochs,edge_mode,positive_threshold
amazon_video_games,LightGCN,0.005649255486993781,0.008774151121445622,0.001447458399817643,0.001099840437656713,0.0038565850010409365,0.004826759914526925,0.0023044644148783734,0.001954663653845418,0.005488483289372279,0.005938062672761518,0.013790745384089354,0.02005926601322088,0.013927150846000214,0.019960666697508584,0.004261678104936905,0.003116006198804516,0.010467654962922505,0.012391683105194123,0.006526317223022172,0.005390513740102002,0.01665296182674974,0.01774369101844477,0.03769094531768873,0.053187956608368385,0.019140971009619534,0.0021815558479165186,102.76314995400026,0.010467654962922505,cuda,True,42,not-a-git-repo,100,binary,4.0
amazon_video_games,NGCF,0.00443234419251543,0.007249719718528776,0.0011511283337132436,0.0009801686801914748,0.002950839828036907,0.003874516324842001,0.001827607088888144,0.0017268638076242777,0.003854823594964922,0.004384522177214279,0.010941417825393207,0.018235696375655346,0.011154237896743455,0.019320550380622966,0.0032931148992694265,0.0029305955280053133,0.007943628960223919,0.010595098660054677,0.005084971278322869,0.005089240686889687,0.011792224084674827,0.01325195599993217,0.029776400265663052,0.05141686960371928,0.03017360102967359,0.003438978918358057,220.020046524005,0.007943628960223919,cuda,True,42,not-a-git-repo,100,binary,4.0
amazon_video_games,Sheaf4Rec-official,0.003987559102551964,0.006117182098100602,0.0009459767494871211,0.0007351265101436061,0.002676346039013509,0.0033187634092138687,0.0015291824408900654,0.0013125219498372521,0.0035665892373209444,0.0038944405905773616,0.00888990198313198,0.013562799179393664,0.009093320700635945,0.013745783268227564,0.00267323444764224,0.002014611467788355,0.007117692942717965,0.008566978619701921,0.004131808814741396,0.003514177540569003,0.011846801852613232,0.01261839142688819,0.025680761567412,0.03697144122205003,0.10296572503284551,0.011735323117488662,511.94656259100884,0.007117692942717965,cuda,True,42,not-a-git-repo,100,binary,4.0
amazon_video_games,NCL,0.0072694941878140434,0.011788870006063327,0.002199680875313426,0.0017494871210394346,0.005119456561562971,0.0065969073928920825,0.0033773939612550177,0.003046821125131533,0.007651529953216755,0.008458725476894484,0.02062913152496011,0.03191246865739685,0.017452032069264007,0.026736772057230514,0.006021695815806951,0.004491365950852336,0.013701004908093716,0.01668025085371964,0.00895391043155548,0.007690796526034534,0.0232271779274768,0.024765983495843722,0.05252379898162497,0.07493911888421519,0.01826247200369835,0.0020814305908021823,73.1744195590145,0.013701004908093716,cuda,True,42,not-a-git-repo,100,binary,4.0
amazon_video_games,DirectAU,0.003945007636108594,0.006989213757738444,0.00111693640300889,0.0009345794392523364,0.003047614767711395,0.003975247316111135,0.0017409606289072884,0.0016486991298567861,0.004543004041522391,0.004992932558496203,0.010257579211306132,0.01675404604513335,0.012484179305875118,0.01948259814830072,0.0037469559442107597,0.002985941996900598,0.009007628185348442,0.011261295434023762,0.005763943080752067,0.005178254363105414,0.013709298382477484,0.014929148458799687,0.03376134602612353,0.05158290901040514,0.018383028043899685,0.0020951707367107006,291.7824469789921,0.009007628185348442,cuda,True,42,not-a-git-repo,100,binary,4.0
amazon_video_games,LightGCN,0.005495654821102477,0.008497773722469154,0.0015158422612263508,0.0011397310234784591,0.0038340169471286784,0.004768003274398884,0.002376253097768539,0.0020098929333488644,0.005888474605707339,0.006337196705763842,0.014360610895828584,0.020857077729655803,0.014124047742329914,0.02043352698659104,0.004394509630285588,0.0031934912552579148,0.010410770646908015,0.012412734266943733,0.006703358428347801,0.005523700796927015,0.016437352189787435,0.017533992200958103,0.03918529997786141,0.05468231126854107,0.020063322939677164,0.0022866791588417104,84.17714038299164,0.010410770646908015,cuda,True,43,not-a-git-repo,100,binary,4.0
amazon_video_games,NGCF,0.0043356893625585416,0.007069893624152339,0.00111693640300889,0.0009345794392523364,0.002786772511172757,0.0036271831257020503,0.001776277884963589,0.0016509212202966764,0.003893990542041602,0.004298470900038223,0.010941417825393207,0.017323911556872577,0.011116349642583012,0.018128072588821136,0.0032433030772636706,0.0026870710648660614,0.007936015807709345,0.010173842069456523,0.005021526872150336,0.0046803827180490415,0.011882491539896898,0.013101942170269613,0.02999778614124419,0.047708656187735225,0.03036614297889173,0.0034609235216425498,242.17741177100106,0.007936015807709345,cuda,True,43,not-a-git-repo,100,binary,4.0
amazon_video_games,Sheaf4Rec-official,0.004064154212919104,0.005287881559281509,0.0009345794392523364,0.000638249373147937,0.0028744993340607304,0.0032385810134011143,0.0015196948785999003,0.0011390187388615007,0.003764142614723877,0.003977854855663869,0.009117848187827673,0.012309095053567358,0.00988718956377093,0.014045529363074492,0.002778392738543281,0.001989705556785477,0.007927153171377488,0.00921678228955533,0.004337818038348343,0.00348563247889691,0.013337686377037717,0.014073255297734235,0.027009076820898828,0.037856984724374584,0.10510629403870553,0.01197929040787617,518.889717315993,0.007927153171377488,cuda,True,43,not-a-git-repo,100,binary,4.0
amazon_video_games,NCL,0.007664103309977941,0.012460016728461072,0.002062913152496011,0.001681103259630727,0.004724714637323077,0.006254925121535626,0.00325081788053652,0.0029625057640283586,0.006606912197292867,0.007428935390471762,0.019717346706177342,0.03122863004330978,0.017388208543786934,0.025880349611075066,0.0054903697144122205,0.0041924950188178,0.012756498450854078,0.015654627154527093,0.008345596697423992,0.00721602749357748,0.020408658998984437,0.02203122911603764,0.049867168474651315,0.07283595306619438,0.017677083000307903,0.0020147119900054597,74.64550338700064,0.012756498450854078,cuda,True,43,not-a-git-repo,100,binary,4.0
amazon_video_games,DirectAU,0.004556592643201263,0.006675609405062312,0.001173922954182813,0.0008832915431958057,0.0030471745683650665,0.0037208189725242715,0.0018668786798717745,0.0015601499142619995,0.004169108947431263,0.0045175856279156485,0.0111693640300889,0.01618418053339412,0.012038701694202257,0.018831792477178665,0.0037580252379898166,0.002927828204560549,0.008878913954988401,0.011050955375326596,0.005727989727700478,0.005067758667630221,0.014111987869459646,0.015243798836288869,0.03398273190170467,0.050586672570290016,0.017626904911594465,0.002008993037564904,256.663204344979,0.008878913954988401,cuda,True,43,not-a-git-repo,100,binary,4.0
amazon_video_games,LightGCN,0.0051435232369032,0.008000009062958207,0.0014018691588785048,0.0010542511967175747,0.0032253758413122863,0.004132753188541408,0.002203243490317402,0.001862994631585097,0.004448614412712885,0.00485803656687534,0.013334852974697971,0.019033508092090267,0.014271480653579829,0.020619825389902247,0.004488598627407571,0.003257139694487492,0.010591164297552415,0.012595757075023478,0.006829283342917782,0.005625643923629182,0.01672550523419463,0.017799374736896113,0.03962807172902369,0.05512508301970334,0.019110901979729533,0.002178128787295365,81.0410711109871,0.010591164297552415,cuda,True,44,not-a-git-repo,100,binary,4.0
amazon_video_games,NGCF,0.004772820711446443,0.008266477814998669,0.0017323911556872578,0.001350581262821974,0.0034095515703029674,0.004491909812466955,0.002542082427773092,0.002321822078065215,0.005379032929181094,0.0059432756498601896,0.0166400729427855,0.02473216320948256,0.01293132047112656,0.019521010337072077,0.0046491033872038965,0.0034840602169581582,0.009847287369079662,0.011924523228161382,0.006839316991193731,0.005912816076828487,0.01596659972379476,0.017160570521643347,0.03951737879123312,0.057228248837724156,0.030352636968018487,0.003459384199682982,319.4812604809995,0.009847287369079662,cuda,True,44,not-a-git-repo,100,binary,4.0
