dataset,model,edge_mode,epochs,Recall@10_mean,Recall@10_std,NDCG@10_mean,NDCG@10_std,Recall@20_mean,Precision@10_mean,Precision@20_mean,NDCG@20_mean,F1@10_mean,F1@20_mean,MRR@10_mean,MRR@20_mean,HitRatio@10_mean,HitRatio@20_mean,val_Recall@10_mean,val_Recall@20_mean,val_Precision@10_mean,val_Precision@20_mean,val_NDCG@10_mean,val_NDCG@20_mean,val_F1@10_mean,val_F1@20_mean,val_MRR@10_mean,val_MRR@20_mean,val_HitRatio@10_mean,val_HitRatio@20_mean,infer_total_s_mean,infer_ms_per_user_mean,train_seconds_mean,best_val_NDCG@10_mean,epochs_mean,Recall@20_std,Precision@10_std,Precision@20_std,NDCG@20_std,F1@10_std,F1@20_std,MRR@10_std,MRR@20_std,HitRatio@10_std,HitRatio@20_std,val_Recall@10_std,val_Recall@20_std,val_Precision@10_std,val_Precision@20_std,val_NDCG@10_std,val_NDCG@20_std,val_F1@10_std,val_F1@20_std,val_MRR@10_std,val_MRR@20_std,val_HitRatio@10_std,val_HitRatio@20_std,infer_total_s_std,infer_ms_per_user_std,train_seconds_std,best_val_NDCG@10_std,epochs_std
amazon_video_games,DirectAU,binary,50,0.004872663738357295,0.00011393576145706236,0.003330133323118437,0.00011244120692124465,0.007468896469082696,0.00124990502241471,0.0009554745080161082,0.004120707469618537,0.0019893543082532042,0.001694192397373464,0.004751185862993477,0.005144840915876892,0.011739229541828128,0.017475875693336373,0.012187190788058968,0.018607100782453378,0.0037672496494723638,0.002901077411261161,0.009056516567659156,0.011096661499975667,0.005754779333541249,0.005019276264265023,0.014104952425463828,0.015227649690441526,0.03401962954763486,0.05043908198656926,0.018016159903102864,0.0020533576365515003,263.38092510865926,0.009056516567659156,50.0,0.0003918380210885302,1.0745487139070696e-05,4.221964662809224e-05,2.695393302510639e-05,2.07314127409195e-05,7.633004815755308e-05,8.887215573987382e-05,8.65556133827766e-05,0.00042644830029335996,0.0009321361709889293,0.00021137747355099714,0.0003634558957910155,9.50427781889986e-05,8.172849396109765e-05,0.0002834407148908235,0.00034170499333991826,0.00012126346908085918,0.00013130139512731036,0.0006073771657943032,0.0006380397815157752,0.0009264909991505945,0.0016994961187995748,0.00044285854085278,5.04739618022314e-05,24.748588139291577,0.0002834407148908235,0.0
amazon_video_games,DirectAU,rating,50,0.00512697644282115,0.00035262972059578863,0.0036065290899499557,0.00018370724615279137,0.00756579296807798,0.001360079021350961,0.0009972646455436516,0.004349426629812295,0.0021490197137622783,0.0017619075061881602,0.005090813647344306,0.005471996153552659,0.012726996428842794,0.018311678443887244,0.012264994215491298,0.018896826838194394,0.0037100582982805695,0.002891852999778614,0.008912837290253139,0.011030952114337621,0.005696521144258451,0.0050158900405501295,0.013510029131569977,0.014631762343969788,0.033724448380193346,0.05021769611098812,0.0425323640423206,0.004847545480091247,486.63790948266006,0.008912837290253139,50.0,0.00019625450468996263,5.452739189426083e-05,3.634056391936209e-05,0.0001988161289204048,9.39838615677012e-05,5.7519632793404586e-05,0.0005001583787954384,0.0005260727899607517,0.0004397780146945612,0.0005125270710140591,0.00011165396948595152,0.00044377784665864984,8.601980095103526e-05,3.2587118538586924e-05,0.00015171794918164723,0.0001609600325321523,0.00010999476602916195,6.0782563353021454e-05,0.0002525478257421233,0.0002132915464910584,0.00048741217672580825,0.0008530461236585418,0.02218545601390877,0.002528545248906858,165.5813795909611,0.00015171794918164723,0.0
amazon_video_games,DirectAU,time,50,0.005298058336352158,0.000374387150700274,0.0035060412930526448,0.00025084128584378264,0.007951100540535869,0.0013372844008813919,0.0010238583694248157,0.0043205365888109816,0.0021353903637149284,0.0018141139912807587,0.00490915017071844,0.005328489784168538,0.012575032292378998,0.018767570853278626,0.012444123069428643,0.019231996310642815,0.0038742528226699134,0.0030071581433104566,0.009255239604002244,0.011417294073576624,0.0059083490726461125,0.00520073991157505,0.014540901040513615,0.015710942283745852,0.035089661279610364,0.05226551546011365,0.01803932598947237,0.002055997947284291,456.15315638567944,0.009255239604002244,50.0,0.00023472670367637118,7.914545496542685e-05,2.991417017708309e-05,0.00021649512008822564,0.000130661849657595,5.306079090612741e-05,0.00026898654089854056,0.00025661117207979634,0.0006984566640395961,0.00041962468722693005,9.082578076781188e-05,0.00033980821674791674,6.37486257219799e-05,7.912588116746858e-05,0.00015714087286661558,0.0002630266851436252,6.716252376928914e-05,0.0001253522708917071,0.0003730324393542849,0.00043318001430466387,0.0006778530392913366,0.0016043052322566337,3.370510896114088e-05,3.841475833273431e-06,283.34010961384035,0.00015714087286661558,0.0
amazon_video_games,LightGCN,binary,50,0.005429477848333152,0.0002117007652152827,0.0036386592631606333,0.0002923807099717262,0.008423977968957662,0.0014550566066408328,0.0010979408859509157,0.004575838792489072,0.002294653667654771,0.0019425170729264597,0.005275190769264168,0.0057110986484669,0.013828736418205303,0.019983283944988984,0.014107559747303317,0.020338006358000624,0.0043815954542100214,0.0031888790495166407,0.01048986330246098,0.012466724815720443,0.006686319664762585,0.005513286153552733,0.01660527308357727,0.01769235265209966,0.03883477234152461,0.05433178363220426,0.01904408398938055,0.0021705133336426432,87.7299092989997,0.01048986330246098,50.0,0.00032032102814419367,4.68384925383252e-05,3.4922833201979784e-05,0.00031422574158189095,7.097074109994523e-05,6.0582903728611535e-05,0.0006068605650905644,0.0006248270055848364,0.00041962468722693037,0.0007464053910944655,0.00014105470471168616,0.00027744751852589247,9.308889241784992e-05,5.77097347783083e-05,7.530106266180484e-05,9.164344242183367e-05,0.000124270825349409,9.627356646155615e-05,0.0001223756686581972,0.00011426196068526227,0.0008287608827841538,0.0008287608827841571,5.021013003244483e-05,5.7226042890864785e-06,9.395386769263025,7.530106266180484e-05,0.0
amazon_video_games,LightGCN,rating,50,0.005713988481601478,0.00022678633687003944,0.003646952418911441,0.00019545573193647728,0.008359361218678727,0.0015158422612263505,0.0010922422308335233,0.0044824980776236876,0.002395411222784406,0.00193196027255523,0.0052189730842568775,0.005606593081879797,0.014360610895828583,0.019755337740293293,0.014157482292583165,0.02029682541635448,0.004431407276215778,0.003199948343295698,0.010494135472392438,0.012430565265241533,0.006749940465578101,0.005528297936042155,0.016652771481750893,0.0177001645522249,0.039425134676407646,0.0545531695077854,0.019510327004051458,0.0022236524964726985,109.41174467699602,0.010494135472392438,50.0,0.00030629899623285276,3.355277283765613e-05,3.268112326967029e-05,0.0002462601641621131,5.033168420540046e-05,5.8119137538216165e-05,0.0004794844533152287,0.0005013516190571807,0.0002791759451542259,0.0006602137830325486,8.479620079700745e-05,0.0003138885258192052,3.6526805905880234e-05,4.549047304973036e-05,4.701318917940023e-05,0.00012148427569178047,4.787378465585201e-05,7.893638443582395e-05,0.00017505161423161277,0.0001640902435622751,0.0003762836332073517,0.0007700035700210018,0.0004115175236445492,4.690192884027225e-05,35.8054965882152,4.701318917940023e-05,0.0
amazon_video_games,LightGCN,time,50,0.005560258845879593,0.000107414788913283,0.0036342458724698025,0.00021651060087753455,0.008431772420563373,0.0014816503305219969,0.0011150368513030923,0.004547012912575871,0.0023394006638086788,0.0019694642249890072,0.005193223605578289,0.0056243114405520435,0.014094673657016943,0.020287212217916573,0.01422188645540247,0.0206725888574821,0.004409268688657663,0.00322946646003985,0.01051588728093119,0.012558366502131492,0.006731387842094071,0.005586129991228299,0.01660642247453184,0.017718733789148632,0.03901926057117556,0.05497749243598258,0.01919563931490605,0.002187786564270122,117.57741717602282,0.01051588728093119,50.0,0.00034940355622640486,4.264483002933603e-05,4.011608555949939e-05,0.00027953367147048294,5.5395064050207806e-05,7.020144919344903e-05,0.00045759436063737703,0.0004859275917971148,0.0004397780146945607,0.0007950934403334221,7.770424251851153e-05,0.0001825582266824081,5.8978552738343706e-05,6.894283425966658e-05,7.849763532223969e-05,9.41047306050271e-05,7.447439945217466e-05,0.00010931436236787075,0.00018848175439505435,0.0001738629714151641,0.0005422824314330707,0.0010168632410538466,7.188065291795322e-05,8.192461011847863e-06,52.09224276448891,7.849763532223969e-05,0.0
amazon_video_games,NCL,binary,50,0.008263308373826316,0.000837986474717658,0.005886550686216979,0.0008075929867488661,0.012719835984514545,0.0026935643188207583,0.0019318440847959882,0.007270685352196514,0.004060561985033242,0.0033538247941733977,0.009072605690453877,0.009749482507860062,0.024542208038902818,0.03430590380670162,0.018965937601881363,0.02752585503942526,0.006503210095195926,0.004674931739355029,0.014485070289796198,0.01728552182254199,0.0096834746819439,0.007991804237943245,0.024225464236810258,0.02567065920576155,0.05665633532580622,0.07761419821415394,0.017951116625530023,0.0020459444524196517,73.10660042999855,0.014485070289796198,50.0,0.0007107634264799717,0.0003556171848290118,0.00017152857241044454,0.0007730885613720744,0.0004986720156637351,0.00028280284429783214,0.0016871545337202394,0.0016671280120608863,0.002533748499435161,0.0022870476321392597,0.0010089857676330695,0.0013467341474462866,0.000560413175382345,0.00033605481818049375,0.0008310704760288128,0.0009160845734276227,0.0007518441611135094,0.0005464571971645767,0.0013030432631491002,0.0013172002521639424,0.0034679861670752514,0.003722458651063862,0.00046539623331980415,5.304265253246019e-05,0.19033530411740204,0.0008310704760288128,0.0
amazon_video_games,NCL,rating,50,0.007522900242936763,0.000897932328820857,0.005089746494747314,0.00033742746908714023,0.011612789712651594,0.0022490692196641595,0.0016792037079249296,0.006378009575461928,0.0034614302240881484,0.0029336546271069956,0.007308464884826863,0.00796870659313417,0.02119899703669934,0.030658764531570546,0.017982764272405825,0.026353536043507875,0.006014316286620913,0.004353922219762379,0.013622327730063744,0.016340336164191577,0.009013730205390072,0.007472917035824158,0.022632247312621454,0.02404437233416216,0.0531326101394731,0.07351855951590289,0.020515918906312436,0.0023382629252692542,117.68325411132537,0.013622327730063744,50.0,0.00030837080407073337,0.00027327149165495693,0.00010552347399385416,0.00017092567673730443,0.00041444055980012517,0.0001709156502467455,0.00040787049064199297,0.0003467574390208987,0.002315272241500281,0.0014625314607491949,0.0005671836882709574,0.000729723768341972,0.00024595816898011663,0.00018380435568514456,0.0004515622422662604,0.0005300615798442398,0.0003468268800139788,0.0002994205616812373,0.0006757460508352277,0.0007336522929758383,0.0011405491488505454,0.0018743495693511584,0.003532451684190447,0.0004026044773410585,20.839112440580983,0.0004515622422662604,0.0
amazon_video_games,NCL,time,50,0.008291940684779129,0.0008255077441623503,0.005826514526280277,0.0009385069891173572,0.012733423548679878,0.002666970594939594,0.0019432413950307727,0.007229444499557446,0.004033262910799219,0.0033714170755146135,0.00886180067853193,0.009550405601316998,0.024428234936554976,0.034153939670237825,0.01930123053334432,0.02827693894110173,0.006680318795660837,0.004792081765183381,0.014694760812135834,0.017593493561188483,0.00992417773330643,0.008194708737631656,0.024271073826918413,0.025763023880365762,0.05737583942144491,0.07886871817578038,0.020506855255613726,0.0023372299128805248,98.30900662299246,0.014694760812135834,50.0,0.0007373368876714864,0.0003576407426719033,0.00016562086639113562,0.0009126120509724536,0.0004984468836371275,0.0002738763591910584,0.002130318623122181,0.0021083889105289956,0.002518321315884287,0.002283890033460849,0.0010760464596236438,0.0010081239977316693,0.0005439931947704829,0.0002817812367145899,0.0009060939990610826,0.0008884837937394402,0.0007419301359606728,0.00045337421840247627,0.0015969747385970012,0.0015906337214472346,0.0035529195239349786,0.0032886547052110044,0.0032228509706164893,0.0003673183235259277,31.914846343659928,0.0009060939990610826,0.0
amazon_video_games,NGCF,binary,50,0.0030234499599023686,0.0010844644420495136,0.002032633768284138,0.000662104554688588,0.005529504618249086,0.0007104323379682394,0.0006515462350885191,0.002787560415994836,0.0011489651258228142,0.0011655533127992663,0.0027661995578567265,0.003113760905366204,0.006914368209102652,0.012043157814755718,0.010188569440276516,0.016267857020761625,0.002833739207438565,0.0023171721644159103,0.006986158703723825,0.008899690924917228,0.004433133550123449,0.00405632709192072,0.010032982395723153,0.01104754465693421,0.025920596265958232,0.04091948933658033,0.030356843994619947,0.0034598636875564103,135.8181954586762,0.006986158703723825,50.0,0.0016517436726944182,0.00021470817036615448,0.00017878001011856922,0.0008416583004185669,0.00035955897141351284,0.00032268666685333355,0.0008189788049443237,0.0008953558040826087,0.0021104694798770845,0.00312174433313185,0.0016068572218714697,0.0024286507647495155,0.0005441058033336562,0.00039209066042148746,0.0013939999493014549,0.001656721881342819,0.0008191135130021393,0.0006764763964840131,0.002272469782702211,0.002416879744478123,0.004672180351440932,0.006745359963335937,0.00015425672167921234,1.7581117127788093e-05,48.00318948047041,0.0013939999493014549,0.0
